stop_id,station_name,station_latitude,station_longitude,daily_passenger_volume,annual_passenger_count,year,train_line_name
19957,Windsor,-37.85605308,144.9920352,2400,714100,FY19-20,Sandringham
19958,Prahran,-37.84951848,144.9898599,3200,951300,FY19-20,Sandringham
19959,South Yarra,-37.83844935,144.9923422,10650,3151600,FY19-20,"Frankston, Sandringham, Cranbourne, Pakenham"
19960,Upfield,-37.66607779,144.9467399,950,284700,FY19-20,Upfield
19961,Gowrie,-37.700678,144.9588743,850,258500,FY19-20,Upfield
19962,Fawkner,-37.71462129,144.960545,550,165300,FY19-20,Upfield
19963,Merlynston,-37.72093389,144.9613135,1000,296300,FY19-20,Upfield
19964,Batman,-37.73352285,144.9628406,850,257000,FY19-20,Upfield
19965,Coburg,-37.74234502,144.9633363,1650,508700,FY19-20,Upfield
19966,Moreland,-37.75448484,144.961823,900,272400,FY19-20,Upfield
19967,Anstey,-37.76124203,144.960684,1150,357050,FY19-20,Upfield
19968,Brunswick,-37.76772055,144.9595865,950,304300,FY19-20,Upfield
19969,Jewell,-37.77498702,144.9587169,1000,315750,FY19-20,Upfield
19970,Royal Park,-37.78119293,144.9523013,850,269450,FY19-20,Upfield
19971,Flemington Bridge,-37.78813995,144.9393233,750,225150,FY19-20,Upfield
19972,Macaulay,-37.79426673,144.9361663,850,249450,FY19-20,Upfield
19974,Clifton Hill,-37.78865745,144.9954167,2250,709000,FY19-20,"Hurstbridge, Mernda"
19975,Victoria Park,-37.79915782,144.9944514,2000,612450,FY19-20,"Hurstbridge, Mernda"
19976,Collingwood,-37.80452593,144.9937497,1550,460950,FY19-20,"Hurstbridge, Mernda"
19977,North Richmond,-37.81039836,144.9925003,2400,738350,FY19-20,"Hurstbridge, Mernda"
19978,West Richmond,-37.81494896,144.9914228,1450,436500,FY19-20,"Hurstbridge, Mernda"
19983,Macleod,-37.7260123,145.0691433,1600,469500,FY19-20,Hurstbridge
19984,Watsonia,-37.71095798,145.0837934,1950,577000,FY19-20,Hurstbridge
19985,Greensborough,-37.70395408,145.1082474,1900,588050,FY19-20,Hurstbridge
19986,Montmorency,-37.71529624,145.1215157,850,254100,FY19-20,Hurstbridge
19987,Eltham,-37.71354967,145.147822,1550,461400,FY19-20,Hurstbridge
19988,Diamond Creek,-37.67329744,145.1585062,500,151700,FY19-20,Hurstbridge
19989,Wattle Glen,-37.66396792,145.1816145,100,35850,FY19-20,Hurstbridge
