stop_id,station_name,station_latitude,station_longitude,daily_passenger_volume,annual_passenger_count,year
19957,Windsor,-37.85605308,144.9920352,1900,586800,FY24-25
19958,Prahran,-37.84951848,144.9898599,2800,879500,FY24-25
19959,South Yarra,-37.83844935,144.9923422,10350,3199050,FY24-25
19960,Upfield,-37.66607779,144.9467399,850,264250,FY24-25
19961,Gowrie,-37.700678,144.9588743,700,232350,FY24-25
19962,Fawkner,-37.71462129,144.960545,450,146600,FY24-25
19963,Merlynston,-37.72093389,144.9613135,900,284100,FY24-25
19964,Batman,-37.73352285,144.9628406,700,228750,FY24-25
19965,Coburg,-37.74234502,144.9633363,1550,511300,FY24-25
19966,Moreland,-37.75448484,144.961823,850,273050,FY24-25
19967,Anstey,-37.76124203,144.960684,1100,365100,FY24-25
19968,Brunswick,-37.76772055,144.9595865,1050,350600,FY24-25
19969,Jewell,-37.77498702,144.9587169,1200,395350,FY24-25
19970,Royal Park,-37.78119293,144.9523013,900,291800,FY24-25
19971,Flemington Bridge,-37.78813995,144.9393233,850,273600,FY24-25
19972,Macaulay,-37.79426673,144.9361663,950,303550,FY24-25
19973,North Melbourne,-37.80630984,144.9415102,3950,1394050,FY24-25
19974,Clifton Hill,-37.78865745,144.9954167,2100,719300,FY24-25
19975,Victoria Park,-37.79915782,144.9944514,2100,659700,FY24-25
19976,Collingwood,-37.80452593,144.9937497,1600,487500,FY24-25
19977,North Richmond,-37.81039836,144.9925003,1950,608300,FY24-25
19978,West Richmond,-37.81494896,144.9914228,1350,407750,FY24-25
19979,Jolimont,-37.81652702,144.9840983,2500,1060400,FY24-25
19983,Macleod,-37.7260123,145.0691433,1000,314850,FY24-25
19984,Watsonia,-37.71095798,145.0837934,1050,315600,FY24-25
19985,Greensborough,-37.70395408,145.1082474,1200,378250,FY24-25
19986,Montmorency,-37.71529624,145.1215157,550,175700,FY24-25
19987,Eltham,-37.71354967,145.147822,1100,344100,FY24-25
19988,Diamond Creek,-37.67329744,145.1585062,350,114700,FY24-25
19989,Wattle Glen,-37.66396792,145.1816145,100,27200,FY24-25
19990,Hurstbridge,-37.63939817,145.1920169,250,75700,FY24-25
19991,Williamstown,-37.86775292,144.9053233,450,149500,FY24-25
19992,Williamstown Beach,-37.86398189,144.8944837,500,166350,FY24-25
19993,North Williamstown,-37.85733348,144.8890695,900,271600,FY24-25
19994,Newport,-37.84271757,144.8835999,3950,1245950,FY24-25
