stop_id,station_name,station_latitude,station_longitude,annual_passenger_count_2019,annual_passenger_count_2024,annual_change,annual_change_pct
20017,Merri,-37.77784668,144.9929725,153450,147850,-5600,-0.036493971977842946
20019,Rushall,-37.78321711,144.9924071,124600,123150,-1450,-0.011637239165329053
20021,Sunshine,-37.78853633,144.8328782,1753250,1577600,-175650,-0.10018537002709255
20022,Tottenham,-37.7992509,144.8629449,442450,394350,-48100,-0.1087128489094813
20023,West Footscray,-37.8018087,144.8853248,515950,512550,-3400,-0.006589785831960461
20024,Middle Footscray,-37.8025047,144.8914721,191600,190800,-800,-0.0041753653444676405
20025,Footscray,-37.80108298,144.9031992,4038750,4383950,345200,0.08547199009594553
20026,South Kensington,-37.79953087,144.925469,304750,324400,19650,0.06447908121410993
20027,Flemington Racecourse,-37.78720192,144.9075887,154650,145550,-9100,-0.058842547688328486
20028,Showgrounds,-37.7835,144.915,143150,114900,-28250,-0.19734544184421934
20030,Broadmeadows,-37.68304926,144.9196132,810850,878300,67450,0.08318431275821668
20031,Jacana,-37.69513079,144.9158505,221650,213150,-8500,-0.03834874802616738
20032,Glenroy,-37.70453633,144.9172204,1037400,740900,-296500,-0.2858106805475227
20033,Oak Park,-37.71794973,144.9215188,479050,418000,-61050,-0.12743972445464982
20034,Pascoe Vale,-37.73075596,144.9281956,545050,538950,-6100,-0.011191633795064673
20035,Strathmore,-37.74359132,144.9273157,318600,303300,-15300,-0.0480225988700565
20036,Glenbervie,-37.74720985,144.9209387,301950,272200,-29750,-0.09852624606722968
20037,Essendon,-37.7560117,144.9161975,1298700,1347950,49250,0.03792253792253792
20038,Moonee Ponds,-37.76570666,144.9191607,776300,782550,6250,0.0080510112070076
20039,Ascot Vale,-37.77530609,144.9218207,488800,491400,2600,0.005319148936170213
20040,Newmarket,-37.78732767,144.9289785,675600,600650,-74950,-0.1109384251036116
20041,Kensington,-37.79378022,144.9305244,424600,421500,-3100,-0.00730098916627414
20042,Box Hill,-37.81922165,145.1214289,2775200,2648350,-126850,-0.04570841741135774
40220,Roxburgh Park,-37.63823121,144.9354037,488650,498650,10000,0.020464545175483476
40221,Craigieburn,-37.6018169,144.9433203,1126250,1508250,382000,0.3391786903440622
44817,Coolaroo,-37.66100253,144.9260556,274750,281400,6650,0.024203821656050957
45793,Lynbrook,-38.05734118,145.2492751,352250,407450,55200,0.15670688431511712
45794,Cardinia Road,-38.07129047,145.437791,355850,405950,50100,0.1407896585640017
45795,South Morang,-37.6491588,145.0670324,554250,569650,15400,0.027785295444294093
46468,Williams Landing,-37.86986533,144.7474447,1419700,1389550,-30150,-0.021236881031203775
52095,Southland,-37.958758,145.049124,441650,479000,37350,0.08456922902751048
52159,Middle Gorge,-37.644062,145.09214,184700,222950,38250,0.20709258256632376
52160,Hawkstowe,-37.622992,145.097396,181900,208500,26600,0.1462341946124244
52161,Mernda,-37.602549,145.100883,527250,662700,135450,0.25689900426742535
19841,Flagstaff,-37.81198131,144.9556538,3883350,3445200,-438150,-0.11282784194059253
19842,Melbourne Central,-37.80993877,144.9625935,10865600,11876900,1011300,0.09307355323221911
19843,Parliament,-37.81105406,144.9729109,7646300,6344650,-1301650,-0.1702326615487229
19854,Flinders Street,-37.81830513,144.9669643,21503500,19633300,-1870200,-0.08697188829725394
19908,Richmond,-37.82407446,144.9901643,2965500,3712750,747250,0.25198111616928004
19973,North Melbourne,-37.80630984,144.9415102,1183050,1394050,211000,0.17835256328980179
19979,Jolimont,-37.81652702,144.9840983,787850,1060400,272550,0.34594148632353877
22180,Southern Cross,-37.81793643,144.9514112,14895400,14696050,-199350,-0.013383326396068585
